기업명,경력,학력,핵심역량,스킬
㈜더존비즈온,경력,학력무관,,"Hadoop, Spark, SQL, Linux"
더조은컴퓨터학원,경력,학력무관,,"Kafka, Keras, Python, Pytorch, Scipy, SQL, Tensorflow"
충북대학교병원,경력,학력무관,,"Python, 파이썬"
서울대학교병원,경력,대졸이상,,"Python, Pytorch, R, Tensorflow, Bash, 데이터분석, Coding, 딥러닝, biomedical background, 영상데이터"
㈜알에스엔,신입,대졸이상,,"Git, Python, Pytorch, NLU, NLP"
㈜알에스엔,신입,학력무관,,
㈜인재컴퍼니,신입,학력무관,,
㈜굿인텔리전스,신입,대졸이상 (졸업예정자 가능),,"AWS, C, C++, Python, Pytorch, Shell Script, Linux, CUDA"
㈜포텍,경력 (2년이상),대졸이상,,"C, C#, C++, Qt"
㈜휴비스,경력 (3년이상),대졸이상,,"C, C++, HMI, MFC, VIsualC·C++, Window"
㈜링키지랩,신입,학력무관,,
㈜인스케이프,경력 (3년이상),학력무관,,
봄바람,경력,학력무관,"협동심, 성장지향성, 메타인지","API, AWS, CSS, Javascript, MSSQL"
㈜아이브릭스,경력 (8년이상),학력무관,,"ElasticStack, JAVA, Javascript, Spring, nodejs"
㈜미니레코드,경력,학력무관,"창의성, 성장지향성, 성실성, 협동심","AWS, Docker, Git, Python, Pytorch, RestAPI, Ubuntu, MachineLearning, Deeplearning, SSH"
㈜엘에이티,경력 (5년이상),학력무관,,
㈜에스아이시티,경력 (5년이상),초대졸이상,,"C#, HTML, JAVA, Python, VB"
㈜뷰브레인헬스케어,신입,대졸이상,"계획성, 성실성, 협동심, 성장지향성, 꼼꼼함","Keras, Python, Pytorch, Tensorflow, CNN, CT, CUDA, DL, EMR, MRI"
㈜알고그랩,경력 (5년이상),대졸이상,,"JAVA, Jquery, Python, Spring, Tensorflow, Vue"
(주)퀀타매트릭스,경력 (3년이상),대졸이상,,"C, C++, Python, Pytorch, R, Numpy"
플릭던,신입,대졸이상 (졸업예정자 가능),"계획성, 성실성, 협동심, 성장지향성, 성취지향성, 꼼꼼함","Azure, Keras, Python, Pytorch, React, Tensorflow, ETL, OCR, RPA, Langchain"
㈜디피,경력 (3년이상),대졸이상,,"JAVA, Javascript, JSP, Node"
㈜시선아이티,경력 (3년이상),대졸이상,"적응성, 협동심, 메타인지, 성실성","Python, Pytorch, SQL, Tensorflow, ETL, Nifi, Scikit-Learn"
(주)퀀타매트릭스,경력 (3년이상),대졸이상,,"C, C++, Python, CNN, 데이터사이언스, RNN"
㈜아이핌,신입,대졸이상,,
㈜미니레코드,경력,학력무관,,"C++, Docker, Python, Pytorch, Linux, GitHub, NLP, REST"
한화시스템,경력,학력무관,,"GraphQL, TypeScript, Vue"
㈜온택트헬스,경력 (5년이상),대학원(석사)이상,,"AWS, C++"
블루닷㈜,경력 (6년이상),대졸이상,,"C, C++"
블루닷㈜,경력 (6년이상),대졸이상,,"Pytorch, Tensorflow"
블루닷㈜,신입,대졸이상,,"Pytorch, Tensorflow"
블루닷㈜,신입,대졸이상,,"C, C++"
씨앤에프시스템㈜,경력 (2년이상),초대졸이상,,"Oracle, Python"
온오프코리아㈜,경력,대졸이상,,"Keras, NoSQL, Python, Pytorch"
㈜원익로보틱스,경력,초대졸이상,,
㈜에이아이네이션,경력 (3년이상),학력무관,,"Python, Pytorch, SQL, Tensorflow"
㈜엘로이랩,신입,학력무관,"꼼꼼함, 성장지향성, 성실성, 성취지향성",
㈜그라비티,경력 (2년이상),학력무관,,
㈜와따에이아이,경력 (3년이상),대졸이상,,"C#, C++, OpenCV, Python, Rust, Segment"
(주)글로벌아카데미,경력 (5년이상),대졸이상,,"API, HTML, JAVA, MySQL, Python, RpA, 인공지능, 머신러닝"
로민,경력 (5년이상),대졸이상,,"AWS, Docker, kubernetes, PostgreSQL, Python, Redis, GitHub, Fastapi, S3"
로민,경력 (2년이상),대졸이상,,"OpenCV, Python, Pytorch, Tensorflow, HuggingFace, triton"
㈜티라유텍,경력 (3년이상),대졸이상,,"Keras, Python, Pytorch, Tensorflow"
㈜덴컴,경력,대졸이상,"계획성, 꼼꼼함, 성장지향성, 윤리의식, 성실성, 성취지향성","C, C++, Matlab, Python"
㈜덴컴,경력 (8년이상),대졸이상,"계획성, 성실성, 협동심, 성장지향성, 성취지향성, 꼼꼼함, 적응성","JAVA, Javascript, Node"
㈜덴컴,경력 (6년이상),대졸이상,"계획성, 적응성, 협동심, 성장지향성, 창의성, 성실성, 꼼꼼함","C, C++, Python, Tensorflow, TypeScript"
㈜덴컴,경력 (10년이상),대졸이상,"계획성, 협동심, 성장지향성, 성실성, 성취지향성, 꼼꼼함, 적응성, 창의성","JAVA, Javascript, Node"
㈜덴컴,경력 (8년이상),대졸이상,"계획성, 성실성, 협동심, 성장지향성, 성취지향성, 꼼꼼함, 적응성","JAVA, Javascript, Node"
㈜세이프모션,신입,대졸이상 (졸업예정자 가능),,Python
㈜세이프모션,신입,대졸이상 (졸업예정자 가능),,Python
㈜세이프모션,신입,대졸이상 (졸업예정자 가능),,Python
㈜엠비즈커뮤니케이션,경력,초대졸이상,,
㈜이엑서비션,경력 (2년이상),초대졸이상,"계획성, 성실성, 창의성, 협동심, 윤리의식","Keras, Pandas, Python, Pytorch, Scipy, Tensorflow"
㈜피트릭스,경력 (5년이상),대학원(석사)이상,"창의성, 협동심, 성장지향성, 성실성, 성취지향성, 스트레스관리","Azure, C++, Pytorch, Tensorflow, GitHub, TensorRT, onnx, OpenVINO"
㈜글로벌시스템스,경력,대졸이상,"성실성, 꼼꼼함, 적응성, 협동심, 스트레스관리, 계획성","OpenCV, Python, Pytorch, PyQt, GUI, JSON, 정보처리기사 자격"
㈜퍼블릭에이아이,경력,대졸이상,,"Python, devops, ml"
노마드코더,경력 (3년이상),학력무관,"성실성, 메타인지, 자존감","JAVA, Python, Pytorch, Shell Script"
매드업,경력 (3년이상),대졸이상,,"Git, Google Analytics, Keras, Pytorch, Tensorflow, LLM, Generative AI, RAG, prompt engineering"
아이덴티파이㈜,경력 (2년이상),대졸이상,,"Azure, Django, Docker, Flask, kubernetes, Python, Pytorch, Tensorflow, Cloud, Fastapi"
㈜스타마타,경력,학력무관,,"C, Python, Linux, 딥러닝, 임베디드, 알고리즘"
제이씨에프테크놀러지,경력 (5년이상),대졸이상,,
휴씽크㈜,경력 (5년이상),대학원(석사)이상 (졸업예정자 가능),"계획성, 성취지향성, 창의성, 성장지향성, 협동심, 꼼꼼함, 적응성, 성실성","JAVA, OpenCV, Python, Pytorch, SQL, Tensorflow, CNN, 정보처리기사 자격, NLP, GPT"
㈜웨어러블에이아이,경력 (5년이상),대졸이상,,"Pytorch, 임베디드리눅스, CUDA, C/C++"
㈜하가,경력,대졸이상,,
㈜바이킹랩,경력,학력무관,"성실성, 창의성, 성장지향성, 계획성, 협동심, 성취지향성","Docker, Python, CNN, CUDA, GAN, GitHub"
㈜버블콘,경력,대졸이상,,"C++, JAVA, Python"
㈜케이엘큐브,경력 (3년이상),대졸이상,,
토르드라이브,경력 (3년이상),학력무관,,"C, C++, Python, Pytorch, Tensorflow, CUDA, LiDAR"
㈜에이아이네이션,신입,학력무관,,
㈜화인코왁,경력,학력무관,,
테크빌교육㈜,경력 (8년이상),학력무관,"성실성, 꼼꼼함, 협동심",
㈜포커스에이치엔에스,경력 (3년이상),대졸이상 (졸업예정자 가능),,"C, C++, Qt, Windows, macOS"
㈜에스엠테크,경력 (2년이상),대졸이상,"성실성, 윤리의식, 창의성, 협동심, 꼼꼼함, 계획성","API, ASP"
㈜자이언트스텝,경력,학력무관,,"C++, Python, Tensorflow, Numpy"
디앤샤인,경력,초대졸이상 (졸업예정자 가능),"성실성, 윤리의식, 창의성, 협동심, 꼼꼼함","Arduino, AWS, Keras, Python, Tensorflow"
㈜케이솔루션즈,경력,학력무관,"성실성, 협동심, 계획성, 적응성","Python, Pytorch, SQL, Tensorflow, CNN, JSON"
슈프리마,경력 (10년이상),대학원(석사)이상,,
㈜에어패스,신입,대졸이상,"꼼꼼함, 계획성, 성장지향성, 성실성, 성취지향성, 적응성, 창의성, 협동심","API, AWS, C#, Docker, JAVA, Keras, OpenCV, Python, Pytorch, Tensorflow"
㈜아이옵스,신입,대졸이상 (졸업예정자 가능),,"Python, Pytorch, Tensorflow, DL, ml"
엠클라우드브리지㈜,신입,대졸이상 (졸업예정자 가능),,"AWS, Azure, Python, Pytorch, Spark, SQL, Tensorflow"
㈜미니레코드,경력 (1년이상),학력무관,,"Docker, Python, Pytorch, Linux, GitHub"
㈜유니아이,경력,학력무관,"협동심, 성취지향성, 창의성","C#, WPF"
㈜제이엘케이,경력,대학원(석사)이상 (졸업예정자 가능),,"C, C++, Python"
바이플㈜,경력 (2년이상),대졸이상,"윤리의식, 적응성, 성장지향성, 메타인지, 성취지향성, 스트레스관리","Pytorch, NLP, yolo, 챗GPT"
㈜와에이아이,경력 (3년이상),초대졸이상,"성실성, 적응성, 협동심, 꼼꼼함","C#, ECMAscript, Git, JAVA, Javascript, Kotlin, MongoDB, Node"
㈜네피리티,신입,학력무관,,Python
디엑스솔루션㈜,신입,초대졸이상,,
㈜클라모스,경력 6년이상,대학원(석사)이상,,"Docker, Flask, Python, RestAPI, Tensorflow, Ubuntu, Fastapi, Container, tytorch"
㈜새론솔루션,신입,학력무관,,"Hadoop, JAVA, Python, R, SQL, Tensorflow"
㈜새론솔루션,경력 (3년이상),학력무관,,"Hadoop, JAVA, Python, R, SQL, Tensorflow"
㈜한컴케어링크,경력 (3년이상),대졸이상,,"Tensorflow, Keras, Pythor"
한국치매협회,경력,대학원(석사)이상,,"Python, SQL, ADsP 자격, CNN, 머신러닝, 프로그래밍, 인공지능, 딥러닝, 기계번역, 데이터 수집 및 정제"
㈜인스펙터,경력 (5년이상),초대졸이상,"꼼꼼함, 협동심, 성장지향성, 적응성, 계획성","API, Docker, Git, JAVA, MariaDB, MySQL, OracleDB, Python, Spring, SQL"
브이아이,신입,초대졸이상 (졸업예정자 가능),"성실성, 창의성, 협동심, 성장지향성, 계획성, 성취지향성, 꼼꼼함, 윤리의식, 자존감, 적응성",
브랜드 인게이지먼트 네트워크 인크 (,경력,대졸이상,,"Docker, Swift, 영어, 영어회화, gRPC, MQ, WebSocket, 기계학습, Apache Kafka, Kubernetix"
㈜티쓰리엔터테인먼트,경력,학력무관,,
㈜아이브릭스,경력 (3년이상),학력무관,,"ElasticStack, JAVA, Javascript, Spring, nodejs"
㈜아이브릭스,경력 (3년이상),학력무관,,"ElasticStack, JAVA, Javascript, Spring, nodejs"
"㈜에스티씨랩(STCLab.co.,Ltd.)",경력 (3년이상),학력무관,,
㈜엠티이지,경력,초대졸이상 (졸업예정자 가능),"성실성, 성취지향성, 성장지향성, 계획성, 꼼꼼함","Python, Pytorch"
스피치로그㈜,신입,초대졸이상,"계획성, 창의성, 성실성, 성취지향성, 꼼꼼함, 윤리의식","Hadoop, JAVA, Python, Scala, SQL, Hive, Airflow, Apache Flume, Apache Impala, AWS Redshift"
㈜에스온시스템,경력,초대졸이상,"계획성, 꼼꼼함, 적응성, 협동심",JAVA
㈜유투에스알,경력,학력무관,,"C#, C++, MFC, Python, Pytorch, Tensorflow"
㈜위존 강남사업장,경력,학력무관,,
지엔소프트㈜,경력,대졸이상,"계획성, 성실성, 협동심, 스트레스관리, 자존감","C#, OpenCV, Python, NLP, yolo"
이젠아카데미컴퓨터학원,경력,초대졸이상,,
㈜라피치,경력,대학원(석사)이상,,
알피니언메디칼시스템㈜,신입,대졸이상,,
㈜인텔리즈,경력,초대졸이상 (졸업예정자 가능),"꼼꼼함, 적응성, 협동심, 메타인지, 성장지향성, 스트레스관리, 계획성, 성실성","C#, Python, VIsualC·C++"
㈜마젠타로보틱스,경력,대졸이상,,"Python, ROS"
㈜이디코어,신입,대졸이상,,"C# JAVA, 모델러 ( 반도체, 디스플레이 공정 경험자), 통계분석경험자, EES 경험자"
㈜아이알에스소프트코리아,경력 (5년이상),학력무관,,"JAVA, Keras, MariaDB, Pytorch, Tensorflow, 전자정부표준프레임워크"
에너자이,경력,대졸이상,,"Python, Pytorch, Ai, 최적화"
㈜써로마인드,경력 (2년이상),학력무관,,"OpenCV, Pytorch, Tensorflow, Scikit-Learn"
㈜시스트란,신입,대졸이상 (졸업예정자 가능),"계획성, 성장지향성, 협동심","Docker, Kafka, Logstash, Pandas, Python, Pytorch, Tensorflow, Linux, Elasticsearch"
㈜셀빅,경력,대학원(석사)이상 (졸업예정자 가능),"창의성, 성장지향성, 적응성","AR, Python, Unity, 영상처리, 인공지능, opencv"
㈜바이트사이즈,경력,대졸이상 (졸업예정자 가능),"성취지향성, 창의성, 메타인지, 성장지향성, 꼼꼼함, 계획성, 성실성",
㈜디케이앤트,신입,학력무관,"계획성, 성실성, 성장지향성, 성취지향성, 협동심",
㈜한국금융아이티,신입,대학원(석사)이상 (졸업예정자 가능),,
㈜바이온테크,경력,학력무관,,"C#, C++, MFC, OpenCV, Euresys 라이브러리 사용 가능자"
모빌테크,신입,대졸이상,,"C, C++, Linux"
㈜브릭,경력 (5년이상),대졸이상 (졸업예정자 가능),,"Python, R"
오투오,경력,대학원(석사)이상 (졸업예정자 가능),"성실성, 협동심, 성취지향성","Python, Github, GPT"
㈜시스윈모빌리티,신입,대졸이상,,"C#, C++, Visual Studio, Linux"
㈜시스윈모빌리티,경력 (2년이상),대졸이상,,"C, C#, C++, OpenCV, Python, Halcon, Mil"
브이젠㈜,경력 (3년이상),대졸이상,"계획성, 성실성, 협동심, 성장지향성","AWS, Azure, Docker, GCP, kubernetes, NoSQL, Python, RDBMS, Scala, Spark"
Upstage,경력 (1년이상),대학원(석사)이상,,"C++, Python, Pytorch, Tensorflow"
Upstage,경력 (3년이상),학력무관,,"Pytorch, Tensorflow"
Upstage,경력 (5년이상),학력무관,,"AWS, Azure, GCP, kubernetes, Linux"
㈜와따에이아이,경력 (1년이상),초대졸이상,,"C#, C++, OpenCV, Python, R, Rust"
시티아이랩㈜,경력,학력무관,,"Flutter, OpenCV, Python, Scipy, Tensorflow, Nginx, Numpy, fast-api, tkinter&PyQt"
㈜스탠스,경력 직무별 상이,대졸이상 직무별 상이,"계획성, 성실성, 꼼꼼함","C++, Git, JAVA, Jira, Jquery, NoSQL, Pytorch, RDBMS, React, Spring Boot, Tensorflow, Vue"
㈜에이젠글로벌,경력 (3년이상),대졸이상,,
㈜씨엘모빌리티,경력 (3년이상),학력무관,"계획성, 꼼꼼함, 성장지향성, 적응성, 창의성","C#, C++, GoLang, Python, Ai, 머신러닝, 딥러닝"
슈프리마,경력 (2년이상),대졸이상,,
㈜ 제이시스,신입,대졸이상,,"ArcGIS, CSS, HTML, JAVA, Javascript, Python, QGIS, PowerPoint, OA, 컴퓨터활용능력"
㈜리콘랩스,경력,대학원(석사)이상,,
웨이센,경력 (5년이상),대졸이상,,"Python, Pytorch, Tensorflow"
씨드로닉스㈜,경력 (3년이상),대학원(석사)이상,"계획성, 성실성, 협동심, 꼼꼼함, 윤리의식","C, C++, OpenCV"
㈜소프트웨어품질공학센터,경력,학력무관,,
㈜트루엔,경력,학력무관,,
㈜트루엔,경력 (3년이상),대학원(석사)이상,,
㈜디지털조이,경력,학력무관,,
㈜이노포스트,신입,대졸이상,,"Hadoop, SQL, BigQuery, DBMS, JSON, 정보처리기사 자격"
㈜이노포스트,신입,대졸이상,,"Python, Pytorch, Tensorflow, Scikit-Learn"
㈜코드랩이앤티,경력,대졸이상 (졸업예정자 가능),,"API, AWS, Docker, Git, JAVA, JPA, MariaDB, MongoDB, MSA"
㈜코드랩이앤티,경력 (2년이상),대졸이상,,"API, AWS, Docker, Git, JAVA, JPA, MariaDB, MongoDB, MSA"
㈜에이젠코어,경력 (3년이상),대졸이상,"계획성, 성실성, 창의성","JAVA, Matlab, Python, SQL"
메디웨일,신입,학력무관,,"Python, Pytorch, Tensorflow, Lightning"
㈜에이아이에코젠랩(AIEcoG,경력,대졸이상 (졸업예정자 가능),"성실성, 적응성, 계획성, 꼼꼼함","C++, Python, Pytorch, Tensorflow, Tableau"
애드인에듀,경력,학력무관,"계획성, 협동심, 성장지향성, 성실성, 꼼꼼함","AWS, Docker, Spring Boot, Notion, GitHub, 머신러닝, React"
데이터마케팅코리아,경력 (3년이상),초대졸이상,"협동심, 성장지향성, 성실성, 창의성","CSS, Django, Flask, HTML, PostgreSQL, Python, Fastapi, LLM"
데이터마케팅코리아,경력 (3년이상),초대졸이상,"협동심, 성장지향성, 성실성, 창의성","Azure, GCP, Javascript, PostgreSQL, Python, AWS EKS, BigQuery, Bitbucket"
바이오커넥트,경력,학력무관,,"C++, OpenCV, Python, DL"
㈜에니트,경력 (3년이상),대졸이상,,"Ajax, C, C#, C++, HTML, JSP, Python, SQL, Tensorflow"
㈜하가,경력,대졸이상,,
㈜딥인스펙션,경력 (3년이상),대졸이상,,"C++, Python"
㈜엘로이랩,경력,대졸이상,"꼼꼼함, 성장지향성, 성실성, 성취지향성",
딥브레인 AI,신입,대학원(석사)이상,,"C, C#, C++, JAVA, Python, C++Builder"
에너자이,경력,학력무관,,"Keras, Python, Pytorch, Tensorflow, NAS, network compression"
딥브레인 AI,신입,대졸이상,,
㈜좋은정보기술,신입,대졸이상 (졸업예정자 가능),,"Hadoop, Kafka, NoSQL, Python, R, Spark, Nifi, MML, 생성 AI"
㈜아이넷캅,신입,대졸이상 (졸업예정자 가능),,"Python, R"
㈜쿼리시스템즈,경력 (5년이상),학력무관,,
㈜미래기후,경력,대졸이상 (졸업예정자 가능),"협동심, 성장지향성, 적응성","Python, Fortran"
㈜파비스,경력,학력무관,"계획성, 성실성, 꼼꼼함, 적응성, 창의성, 협동심","C#, C++, 영어회화, 1종보통운전면허, 2종보통운전면허, 운전면허, 컴퓨터활용능력"
㈜씨프로,경력,대졸이상 (졸업예정자 가능),,"C, C++, 임베디드리눅스, Linux Application, bsp kernel"
㈜비글즈,경력 (5년이상),학력무관,,
㈜볼링원,경력,대졸이상 (졸업예정자 가능),,"JAVA, Node"
디딤365㈜,경력 (2년이상),초대졸이상,,"Python, Window, Linux"
㈜블루타일랩,신입,대졸이상,,"C#, C++, MFC, OpenCV, Qt, Halcon, Mil"
㈜아이케이랩 (IKLAB Inc.),경력,대학원(석사)이상 (졸업예정자 가능),,"C, C++, Pytorch"
몬드리안에이아이,경력 (2년이상),대졸이상,,"Javascript, React, TypeScript, Webpack, styled-components, vite, 인공지능, React Query, Ant Design"
㈜엑스큐어넷,경력 (4년이상),초대졸이상,,
㈜한화,경력 (4년이상),대졸이상,,"Hadoop, Keras, MongoDB, NoSQL, Python, Pytorch, SQL, Tensorflow, Apache Cassandra"
㈜더캐리,신입,대졸이상 (졸업예정자 가능),,"Flutter, JAVA, Oracle, Python, React, TypeScript, Figma, Next"
비바이노베이션,경력 (2년이상),대졸이상,,
㈜브이알크루,경력 (2년이상),대학원(석사)이상,,
㈜브이알크루,경력 (5년이상),대학원(박사)이상,,
㈜에스에이치엘에이비,신입,대졸이상 (졸업예정자 가능),,"Keras, Python, Pytorch, Tensorflow, 라즈베리파이"
제이에스엘인재개발원㈜,경력,학력무관,,일본어
에이치디현대㈜,신입,대졸이상,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
삼성전자㈜,경력,,,
엘지이노텍,신입,대학원(석사)이상 (졸업예정자 가능),,
양정인력개발센터,신입,학력무관,"계획성, 성취지향성, 꼼꼼함","Bootstrap, CSS3, Git, HTML, JAVA, Javascript, Jquery, JSP, MySQL, Pandas, Python, React, Servlet, Spring, ERP, 무역영어, GitHub, Matplotlib, Numpy, 국제무역사 자격"
플레이리스트,경력,학력무관,,
쎄트렉아이,경력,대졸이상,,
삼성전자㈜,경력,,,
㈜이스트소프트,신입,학력무관,"계획성, 꼼꼼함, 성실성",
한국ICT인재개발원,신입,고졸이상,,"AWS, Git, Hadoop, JAVA, MyBatis, MySQL, OracleDB, Python, Spring, Spring Boot"
코맥스,경력,대졸이상,,
코맥스,경력,학력무관,,
코맥스,경력,초대졸이상,,
코맥스,경력,학력무관,,
코맥스,신입,대학원(석사)이상,,
코맥스,경력,대학원(석사)이상,,
코맥스,경력,대학원(석사)이상,,
코맥스,신입,학력무관,,
㈜이스트소프트,경력,학력무관,,"Python, UI, UX, 기업 교육, 디지털 교육"
대한상공회의소 서울기술교육센터,신입,학력무관,"계획성, 성취지향성, 꼼꼼함","Android, C#, HMI, JPA, OpenCV, Spring, SQL, ARM, AVR, JSTL, JWT, PLC, JUnit, IoT, 임베디드 시스템, 웹서버, alot, 인텔엣지"
엘지유플러스,경력,대졸이상,,
한국스마트정보교육원,경력,학력무관,,"Ajax, CSS, HMI, HTML, JAVA, Javascript, JSP, MySQL, Oracle, SQL, 어셈블리"
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
LG에너지솔루션,신입,대학원(석사)이상 (졸업예정자 가능),,
㈜이스트소프트,경력 (5년이상),대졸이상,"성실성, 적응성, 계획성, 꼼꼼함","Jira, Figma, Amplitude, AppsFlyer, GTM, GA, powerBI"
씨에이치솔루션㈜,경력,학력무관,,
비전잡,경력 (7년이상),대졸이상,,"C, C++"
㈜비전잡,경력,초대졸이상,,
㈜그린피플,경력,학력무관,,
㈜에이유이,신입,대졸이상 (졸업예정자 가능),,"C#, C++, OpenCV, Python"
나이스지니데이타㈜,경력 (3년이상),대졸이상,,"의사소통, 문제해결"
㈜와이즈교육,경력,초대졸이상,,
㈜스피링크,경력 (2년이상),학력무관,,
㈜에이치앤엘시스템,경력 (10년이상),학력무관,,Python
휴먼인포텍,경력 (7년이상),학력무관,,"Ai, 챗봇, 데이터 전처리, 프롬프트 엔지니어"
㈜에이치앤티아웃소싱시스템,경력,고졸이상,,"Excel, OA"
미디어윌네트웍스,경력 (10년이상),대졸이상,,
㈜유베이스,경력,학력무관,,
중앙정보기술인재개발원 중앙정보처리학원,신입,학력무관,,"JAVA, 디버깅"
(주)글로벌아카데미,경력,학력무관,"성실성, 적응성, 협동심, 성장지향성, 윤리의식, 계획성","Google Analytics, JAVA, Python, Spring, RPA"
(주)글로벌아카데미,경력,학력무관,"성실성, 적응성, 협동심, 성장지향성, 윤리의식, 계획성","RPA, LowCode, Chat GPT4, outsystems"
동대문여성인력개발센터,신입,초대졸이상,,
㈜글로벌인,경력,고졸이상 (졸업예정자 가능),"계획성, 성취지향성, 꼼꼼함","일본어, JLPT, JPT"
메타빌드㈜,경력,학력무관,,
㈜스피링크,경력,학력무관,,"Excel, 구글 스프레드시트"
㈜스피링크,경력 (5년이상),학력무관,,"JAVA, Javascript, Python, React, RestAPI, Cloud, GUI, 백엔드, 프론트엔드, 챗봇"
㈜스피링크,경력 (3년이상),대졸이상,,"NoSQL, Python, Pytorch, Tensorflow, Cloud, NLU, NLP, LLM, Langchain, LlamaIndex"
㈜스피링크,경력 (3년이상),대졸이상,,
㈜올윈에듀,경력 (5년이상),대졸이상,"창의성, 협동심, 성장지향성, 계획성",
㈜브이알크루기업정보,신입,학력무관,,
